Base32InputStreamTest,testBase32EmptyInputStreamMimeChuckSize
Base32InputStreamTest,testSkipBig
Base32OutputStreamTest,testBase32EmptyOutputStreamMimeChunkSize
Base32Test,testBase64AtBufferStart
Base64InputStreamTest,testBase64EmptyInputStreamMimeChuckSize
Base64InputStreamTest,testSkipPastEnd
Base64OutputStreamTest,testBase64EmptyOutputStreamMimeChunkSize
Base64Test,testCodeInteger1
Base64Test,testBase64AtBufferStart
Base64Test,testDecodePadOnly
Base64Test,testRfc2045Section6Dot8ChunkSizeDefinition
HexTest,testDecodeBadCharacterPos0
HexTest,testEncodeHexByteString_ByteBufferBoolean_ToLowerCase
HexTest,testEncodeHexByteString_ByteArrayBoolean_ToLowerCase
CharEncodingTest,testIso8859_1
CharsetsTest,testIso8859_1
PureJavaCrc32CTest,testZeros
BeiderMorseEncoderTest,testSpeedCheck2
PhoneticEngineRegressionTest,testSolrASHKENAZI
Caverphone1Test,testSpecificationV1Examples
ColognePhoneticTest,testAabjoe
DaitchMokotoffSoundexTest,testAdjacentCodes
DoubleMetaphone2Test,testDoubleMetaphoneAlternate
DoubleMetaphoneTest,testCCedilla
MatchRatingApproachEncoderTest,testisEncodeEquals_CornerCase_SecondNameNothing_ReturnsFalse
MatchRatingApproachEncoderTest,testRemoveSingleDoubleConsonants_BUBLE_RemovedSuccessfully
MatchRatingApproachEncoderTest,testRemoveVowel_ALESSANDRA_Returns_ALSSNDR
MatchRatingApproachEncoderTest,testAccentRemoval_AllLower_SuccessfullyRemoved
MatchRatingApproachEncoderTest,testleftTorightThenRightToLeft_ALEXANDER_ALEXANDRA_Returns4
MatchRatingApproachEncoderTest,testGetMinRating_7_Return4_Successfully
MatchRatingApproachEncoderTest,testGetEncoding_HARPER_HRPR
MatchRatingApproachEncoderTest,testGetFirstLast3__ALEXANDER_Returns_Aleder
MatchRatingApproachEncoderTest,testCompare_SMITH_SMYTH_SuccessfullyMatched
MetaphoneTest,testWordsWithCIA
MetaphoneTest,testIsMetaphoneEqualParis
MetaphoneTest,testDiscardOfSilentHAfterG
MetaphoneTest,testWordEndingInMB
MetaphoneTest,testIsMetaphoneEqualPeter
NysiisTest,testDad
NysiisTest,testRule5
NysiisTest,testOthers
NysiisTest,testSnat
SoundexTest,testHWRuleEx2
SoundexTest,testBadCharacters
SoundexTest,testUsMappingEWithAcute
QCodecTest,testBasicEncodeDecode
QuotedPrintableCodecTest,testBasicEncodeDecode
URLCodecTest,testBasicEncodeDecode
