BoundedIteratorTest,testEmptyBounded,testOffsetGreaterThanSize
BoundedIteratorTest,testNegativeOffset,testNegativeMax
FilterListIteratorTest,testTruePredicate,testFours,testThrees,testOdds,testEvens
FilterListIteratorTest,testNestedSixes,testNestedSixes2
MultiKeyTest,testGetKeysArrayConstructorCloned,testGetKeysArrayConstructorNonCloned
CursorableLinkedListTest,testSubListAddEnd,testSubListAddMiddle,testSubListAddBegin
CursorableLinkedListTest,testSerialization,testSerializationWithOpenCursor
CursorableLinkedListTest,testCursorNextIndexAddNext,testCursorNextIndexAddAfter
AbstractSortedMapTest,testHeadMapOutOfRange,testSubMapOutOfRange,testTailMapOutOfRange
Flat3MapTest,testEquals1,testEquals2
LRUMapTest,testRemoveLRUBlocksRemove,testRemoveLRUBlocksRemoveScan
CircularFifoQueueTest,testRemoveError8,testRemoveError9
CircularFifoQueueTest,testConstructorException1,testConstructorException2
CircularFifoQueueTest,testRemoveError4,testRemoveError7,testRemoveError6,testRemoveError5
MapBackedSet2Test,testCanonicalEmptyCollectionExists,testCanonicalFullCollectionExists
